,AUROC,AUPRC,Precision,Recall,F1
LR,0.9791607326350706,0.766081362116213,0.09438202247191012,0.8076923076923077,0.16901408450704225
RF,0.9459073209424743,0.7770060126359504,0.11458333333333333,0.8461538461538461,0.2018348623853211
XGB,0.9814853707342576,0.7668796841398493,0.09817351598173515,0.8269230769230769,0.17551020408163265
RL,,,0.7727272727272727,0.6538461538461539,0.7083333333333334
