,Precision,Recall,F1
LogReg,0.09438202247191012,0.8076923076923077,0.16901408450704225
RandomForest,0.11458333333333333,0.8461538461538461,0.2018348623853211
XGBoost,0.09817351598173515,0.8269230769230769,0.17551020408163265
RL (BLOCK),0.7727272727272727,0.6538461538461539,0.7083333333333334
RL (BLOCK|REVIEW),0.00950344499881207,0.7692307692307693,0.018774935461159353
